SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
150159398,DE14,52.8047417,-1.643379,2
150160125,BT31,54.2769937,-5.9689188,1
150161917,PL16,50.6464378,-4.2640338,2
150162096,SP6,50.9365589,-1.8023782,2
150162360,CM13,51.6152603,0.3385145,2
150162941,BA14,51.3191164,-2.2025658,2
150163324,PO16,50.8508807,-1.1591621,2
150164356,GU10,51.1965791,-0.7979139,2
150164728,NN3,52.2639662,-0.8422004,1
150167332,NN1,52.2416489,-0.8883002,2
150168022,CB10,52.028753,0.2627396,2
150169142,IG2,51.5760405,0.0815331,2
150169384,WF13,53.6923035,-1.6467249,2
150169543,N1,51.5377218,-0.0970473,2
150170282,PE1,52.5866097,-0.2380334,2
150170495,GL1,51.8593662,-2.2437389,2
150171120,NN11,52.2417044,-1.1794055,2
150171365,IV51,57.4741873,-6.2434474,2
150173306,SE1,51.4991997,-0.0916245,2
150173970,SP4,51.1660243,-1.7660031,1
150175612,AL1,51.7489129,-0.323756,2
150175702,SA31,51.8567444,-4.3082937,2
150176041,ST10,52.9885754,-1.9646762,2
150177502,WA3,53.456371,-2.5477451,2
150178124,B97,52.2996987,-1.9545616,2
150181157,PO19,50.8382074,-0.7783183,2
150187027,SA18,51.7977271,-3.9609347,2
150187225,M2,53.4804426,-2.2444104,2
150187881,DL8,54.2928606,-1.7868123,2
150188161,HP18,51.8202707,-0.9688388,2
150189816,PL15,50.6330692,-4.3969382,2
150190672,LL13,53.0344913,-2.9590322,2
150190795,CM21,51.8122758,0.1452281,2
150191942,GU51,51.2843531,-0.8424509,2
150192380,NE40,54.9659302,-1.7743389,2
150192930,HP22,51.8076076,-0.7693074,2
150193461,RH18,51.0932269,0.035663,2
150194364,SS0,51.546671,0.6877161,1
150194986,YO43,53.8493882,-0.6843122,2
150195077,DY10,52.386159,-2.2238755,2
150196396,LN2,53.2571394,-0.5062171,2
150196582,WR3,52.2169397,-2.2139652,2
150198079,BH25,50.75283,-1.6579866,2
150198639,S64,53.4907312,-1.2988429,2
150199440,BH5,50.725298,-1.8322739,1
150200313,FK9,56.1448526,-3.9433641,2
150202502,NN12,52.1265265,-0.9999332,2
150202785,L6,53.4189254,-2.9515685,2
150203638,SL1,51.5178471,-0.6222163,2
150205875,CV9,52.5861653,-1.5616215,2
150209123,GU22,51.3121626,-0.5517403,1
150214485,KT15,51.3637699,-0.4958004,2
150215957,W13,51.5130201,-0.3212138,2
150216784,IG6,51.5960763,0.0877543,1
150217479,SY3,52.6989988,-2.7732128,2
150219218,L36,53.4144065,-2.841731,2
150221005,NP25,51.8025304,-2.7242692,2
150225407,BN22,50.7896229,0.2838081,2
150226714,YO32,54.0124771,-1.0593934,2
150229780,BT41,54.7322694,-6.2572788,2
175000360,RG21,51.2648843,-1.0886279,2
175000524,RH6,51.1730206,-0.1641717,2
175004777,RG9,51.5450342,-0.9260061,2
175005312,BN21,50.7726897,0.2765565,2
175005768,IP5,52.0619388,1.245372,2
175008981,BT45,54.7600743,-6.6390822,2
175010250,EH21,55.9385173,-3.0462249,2
175010361,EH11,55.932686,-3.2518031,2
175010906,WS15,52.7585909,-1.9173233,2
175012600,GL9,51.5555981,-2.3033165,2
175016192,PR9,53.659666,-2.9686373,1
175019273,ME14,51.2787626,0.5435955,2
175019899,NG2,52.9348691,-1.1344936,1
175019922,GU29,50.9846389,-0.7477247,2
175020179,WC2R,51.5116889,-0.1183208,2
175021291,TF6,52.7362755,-2.5560077,2
175022394,HD8,53.5995424,-1.6750146,2
175023955,NG7,52.9579006,-1.1725474,1
175026053,SK14,53.4520427,-2.0566162,1
175027490,BS30,51.4447118,-2.4713845,2
175027735,RH14,51.0330425,-0.4847114,2
175030731,SK4,53.4194666,-2.1817251,2
175032879,SS6,51.5886238,0.6074751,2
175034707,S2,53.369613,-1.4480046,2
175037436,EH45,55.6544414,-3.1908306,2
175037503,G21,55.8822282,-4.2201317,2
175038455,EH14,55.9088677,-3.2859923,2
175040736,B47,52.3852897,-1.8800827,2
175041233,DA14,51.4250037,0.1117751,2
175043121,W2,51.5151251,-0.1854875,2
175043378,GL16,51.795578,-2.6128048,2
175044772,BS2,51.4599036,-2.5819782,2
175044834,OX4,51.7312035,-1.2173945,2
175045261,KA1,55.595248,-4.4975073,2
175046173,BT63,54.4072137,-6.3906387,2
175049395,EH12,55.9418955,-3.279118,2
175049651,IV49,57.2290084,-5.9436275,1
175050127,BT67,54.4869748,-6.2660667,1
175051018,CO9,51.9689789,0.6094407,2
175051521,AL5,51.8153821,-0.3520548,2
175051986,ST3,52.9807695,-2.1231617,2
175052120,CO2,51.8697798,0.8943735,2
175056118,CM1,51.7467319,0.4577894,2
175056508,PE10,52.7746766,-0.377177,1
175058914,NN14,52.4110165,-0.6955533,2
175058953,DL16,54.6989434,-1.6056739,2
175059381,G15,55.9092917,-4.3662176,1
175060523,IV22,57.7387245,-5.5136528,1
175061620,B64,52.4725264,-2.0694635,2
175062529,BT8,54.540416,-5.9063825,2
175063018,IP13,52.18917,1.3206039,2
175074187,B29,52.4376384,-1.947722,2
175074292,TA21,50.9777888,-3.2445571,2
175075619,LE67,52.7156016,-1.362308,2
175075776,OX12,51.5964061,-1.425191,2
175082560,CV22,52.359079,-1.2784656,2
175083842,LS9,53.7995059,-1.510182,2
175084241,KT3,51.3995791,-0.2574604,2
175087303,LD8,52.2645156,-3.0484652,2
204103534,N4,51.5700217,-0.1043503,1
204103812,LE16,52.4861071,-0.8959935,2
204106576,PE34,52.7249832,0.3373637,2
204107753,PE31,52.8818331,0.5723975,2
204110121,SA3,51.5817133,-4.0513777,2
204111359,BT27,54.5091942,-6.0237607,2
204111394,BT9,54.5721032,-5.9500064,1
204111414,BT19,54.6513331,-5.6671749,2
204112231,BT41,54.7322694,-6.2572788,2
204112883,BT40,54.8457073,-5.8237859,2
204113074,BT82,54.8264822,-7.4303378,2
204113547,S66,53.4201548,-1.2439946,2
204114498,EX9,50.6394596,-3.3240203,2
204115209,CT8,51.3799305,1.3366875,1
204115433,CV5,52.412484,-1.555389,2
204117416,LA22,54.4229898,-2.9912561,2
204119966,WC2R,51.5116889,-0.1183208,2
204121768,BD5,53.7781758,-1.7591405,2
204122796,SE18,51.4843462,0.0726765,2
204122805,SO5,NA,NA,2
204123275,S1,53.3800229,-1.4710499,2
204125968,NG32,52.951308,-0.6513436,2
204132642,CB24,52.2782051,0.0817273,2
204134137,BN8,50.9166625,0.0527321,2
204136679,SN3,51.5616826,-1.7456549,2
204138526,KY16,56.3425731,-2.8225656,2
204138944,CH7,53.1699651,-3.1322347,1
204140606,BT48,55.0103984,-7.3273919,2
204141187,BT67,54.4869748,-6.2660667,2
204142218,BT74,54.3451053,-7.6650636,2
204142354,BT14,54.621457,-5.9626627,2
204144464,NE23,55.0800801,-1.582986,2
204147268,RG2,51.4201494,-0.9517094,2
204147951,NE46,54.9790665,-2.1076079,2
204147984,NG9,52.9258889,-1.2382797,2
204149610,CM5,51.7217242,0.2482353,2
204175794,KT5,51.3906807,-0.2867503,2
204179481,NN11,52.2417044,-1.1794055,2
204180443,BB7,53.8708936,-2.3888971,2
204182005,EX39,51.015257,-4.2457737,2
204184119,CH7,53.1699651,-3.1322347,2
204200257,BS11,51.4973558,-2.6752683,2
204200936,EN5,51.649944,-0.1975625,2
204201159,CO9,51.9689789,0.6094407,1
204201294,SE1,51.4991997,-0.0916245,2
204201646,GU3,51.2467422,-0.6286183,2
204202254,OX29,51.7940797,-1.435656,2
204202871,CH2,53.2178821,-2.8689752,1
204203819,SP1,51.075221,-1.7887748,2
204203822,BS6,51.4707656,-2.6003841,2
204203941,SL4,51.4752709,-0.6274221,2
204204189,S60,53.4123073,-1.3507801,2
204204374,NW3,51.5523422,-0.1725058,1
204204407,BL3,53.5646619,-2.4321772,2
204204430,ME10,51.3436099,0.735349,2
204204557,WA11,53.4780797,-2.7197662,2
204204791,CO10,52.058478,0.7211086,1
204205532,WA8,53.3730238,-2.7415958,1
204205569,CB8,52.2302078,0.4279081,2
204206093,SR8,54.7667388,-1.3365695,1
204206362,GL52,51.9190904,-2.0581561,1
204206508,BN1,50.8423629,-0.1395112,2
204208008,NW7,51.6148052,-0.2348917,2
204208127,CV5,52.412484,-1.555389,2
204208709,WR2,52.1883104,-2.2484883,2
204208931,SE2,51.4896972,0.1159327,2
204210170,SG5,51.9713173,-0.2810918,2
204210519,GU1,51.2430276,-0.564939,2
204210636,WF1,53.6874355,-1.4935886,2
204210727,PO30,50.6911019,-1.31348,2
204210793,SK4,53.4194666,-2.1817251,2
204211048,B74,52.5843126,-1.8621609,2
204211634,KA9,55.4972272,-4.6053308,2
204211668,G41,55.8376134,-4.2844564,2
204211745,AB42,57.5010193,-1.8922218,2
204211820,G32,55.8488374,-4.1655409,2
