SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
150180419,AB12,57.1020973,-2.1129498,4
150180619,DE1,52.9221535,-1.4774894,4
150180655,CB11,51.9992272,0.2120024,4
150180746,SL4,51.4752709,-0.6274221,3
150181132,TN20,51.0167888,0.2503568,3
150181491,NN1,52.2416489,-0.8883002,4
150182307,SM3,51.3712541,-0.2162485,3
150182887,PE27,52.3315399,-0.0713853,3
150183010,ME5,51.348554,0.532612,4
150183706,BS5,51.4620533,-2.5517422,4
150183885,GL53,51.8795927,-2.0676025,3
150184192,HD4,53.6256253,-1.797853,3
150184371,S3,53.3874982,-1.4740209,4
150184433,LA2,54.0661829,-2.6713879,4
150184927,SA5,51.6489448,-3.9712026,4
150185017,NN4,52.2144778,-0.8994462,4
150186141,CA12,54.6025378,-3.1344633,4
150186861,SO23,51.0685878,-1.3082473,4
150186967,SW11,51.4681801,-0.1637256,3
150188287,AB42,57.5010193,-1.8922218,3
150189591,SK9,53.3278962,-2.2304439,3
150189727,PE6,52.6575152,-0.2526423,5
150189946,LE19,52.5844805,-1.2064606,4
150189963,CV37,52.1827385,-1.715127,4
150190190,SK4,53.4194666,-2.1817251,3
150190283,TN15,51.302716,0.2746409,4
150190480,CV22,52.359079,-1.2784656,3
150190648,AB53,57.5250408,-2.3937282,4
150190663,BS4,51.435356,-2.5636106,4
150190748,SG5,51.9713173,-0.2810918,3
150191454,GL10,51.7436973,-2.2870616,4
150191980,FY3,53.8212841,-3.0204371,4
150192034,IP33,52.2429658,0.7086249,4
150192141,L40,53.6031134,-2.8417029,4
150193203,EX31,51.0857144,-4.068489,3
150193731,CF37,51.6033134,-3.3343249,3
150193932,NR3,52.6432723,1.2917283,3
150193940,SY4,52.7980636,-2.753822,3
150194011,TQ2,50.4764111,-3.546236,5
150194430,TQ12,50.5294305,-3.6123156,4
150194551,WC2A,51.5162229,-0.1142197,4
150194731,PE13,52.6700673,0.1371284,3
150195188,ST14,52.9043124,-1.8699946,4
150195271,PE1,52.5866097,-0.2380334,4
150195279,TN12,51.1724422,0.4445547,4
150195566,LL19,53.3311383,-3.4106208,5
150195711,CM6,51.8783006,0.3661906,4
150197077,PE25,53.1539916,0.3342567,3
150197333,HD6,53.7024215,-1.7843814,3
150197866,LS12,53.7912186,-1.5972635,4
150197981,DH8,54.8569909,-1.8504107,4
150198726,HD5,53.6474167,-1.7462168,4
150199044,HR1,52.0590736,-2.6797236,4
150199652,DT4,50.6095897,-2.4654498,4
150199743,LL12,53.0875778,-2.9891854,3
150199793,SG3,51.8604038,-0.1822612,3
150200352,CM5,51.7217242,0.2482353,3
